imdb_id	title	type	year	genres	rating	votes
tt6010628	Zoe	movie	2018	Drama,Romance,Sci-Fi	6.1	10955
tt1407049	Altitude	movie	2010	Horror,Mystery,Sci-Fi	4.8	10948
tt4132692	Between	tvSeries	2015	Drama,Mystery,Sci-Fi	6.0	10906
tt3722614	Revolt	movie	2017	Action,Adventure,Sci-Fi	5.3	10881
tt0082910	Piranha II: The Spawning	movie	1982	Horror,Sci-Fi,Thriller	3.8	10839
tt0070531	Phase IV	movie	1974	Horror,Sci-Fi,Thriller	6.4	10777
tt13334578	Ganapath	movie	2023	Action,Drama,Sci-Fi	2.6	10758
tt0116839	Lawnmower Man 2: Beyond Cyberspace	movie	1995	Action,Sci-Fi,Thriller	2.6	10754
tt0033553	Dr. Jekyll and Mr. Hyde	movie	1941	Drama,Horror,Sci-Fi	6.8	10740
tt6461824	The Crossing	tvSeries	2018	Adventure,Drama,Sci-Fi	7.1	10735
tt14500584	Beyond the Infinite Two Minutes	movie	2020	Comedy,Sci-Fi	7.2	10712
tt10369484	The Power	tvSeries	2023	Drama,Fantasy,Sci-Fi	6.7	10706
tt0054673	The Beast of Yucca Flats	movie	1961	Horror,Sci-Fi	2.0	10690
tt8001226	The War of the Worlds	tvMiniSeries	2019	Drama,History,Sci-Fi	5.2	10676
tt8747160	The Block Island Sound	movie	2020	Horror,Mystery,Sci-Fi	5.4	10648
tt0083109	The Cabbage Soup	movie	1981	Comedy,Sci-Fi	6.5	10561
tt0053363	The Tingler	movie	1959	Horror,Sci-Fi	6.6	10550
tt7441984	JL50	tvMiniSeries	2020	Drama,Sci-Fi,Thriller	7.3	10549
tt4575328	2036 Origin Unknown	movie	2018	Action,Sci-Fi,Thriller	4.3	10520
tt4157728	The Last Boy	movie	2019	Fantasy,Mystery,Sci-Fi	4.8	10495
tt0090849	Class of Nuke 'Em High	movie	1986	Comedy,Horror,Sci-Fi	5.6	10491
tt0111003	The Puppet Masters	movie	1994	Horror,Sci-Fi,Thriller	5.9	10479
tt6852872	Elizabeth Harvest	movie	2018	Horror,Sci-Fi,Thriller	5.8	10479
tt5636228	Lumina	movie	2024	Adventure,Horror,Sci-Fi	2.9	10437
tt0071431	Let Sleeping Corpses Lie	movie	1974	Drama,Horror,Sci-Fi	6.7	10429
tt13968674	Fingernails	movie	2023	Drama,Romance,Sci-Fi	5.8	10412
tt0072564	Space: 1999	tvSeries	1975	Adventure,Drama,Sci-Fi	7.3	10404
tt0079200	The Gendarme and the Extra-Terrestrials	movie	1979	Comedy,Crime,Sci-Fi	6.3	10378
tt5979874	Godzilla: Planet of the Monsters	movie	2017	Action,Animation,Sci-Fi	6.0	10357
tt10946316	The Institute	tvSeries	2025	Horror,Sci-Fi,Thriller	6.7	10352
tt0044207	When Worlds Collide	movie	1951	Action,Sci-Fi,Thriller	6.6	10346
tt1918886	Joker	movie	2012	Comedy,Family,Sci-Fi	2.7	10338
tt4131818	The Hot Zone	tvSeries	2019	Drama,History,Sci-Fi	7.3	10322
tt4971408	Await Further Instructions	movie	2018	Horror,Mystery,Sci-Fi	4.9	10281
tt0045917	Invaders from Mars	movie	1953	Horror,Sci-Fi	6.3	10278
tt0059464	Monster a Go-Go	movie	1965	Horror,Sci-Fi	1.8	10227
tt13270424	Brian and Charles	movie	2022	Comedy,Drama,Sci-Fi	6.7	10202
tt1319690	Defying Gravity	tvSeries	2009	Drama,Sci-Fi	7.3	10195
tt3463106	The Cured	movie	2017	Drama,Horror,Sci-Fi	5.6	10194
tt0219446	The Oblongs	tvSeries	2001	Animation,Comedy,Sci-Fi	7.1	10188
tt9387250	Skylines	movie	2020	Action,Adventure,Sci-Fi	4.8	10177
tt0086823	V: The Final Battle	tvMiniSeries	1984	Action,Adventure,Sci-Fi	7.7	10121
tt0181151	What Planet Are You From?	movie	2000	Comedy,Sci-Fi	5.7	10120
tt3923662	The Rezort	movie	2015	Horror,Sci-Fi,Thriller	5.3	10106
tt0049169	Earth vs. the Flying Saucers	movie	1956	Action,Horror,Sci-Fi	6.3	10094
tt12108622	Infinitum: Subject Unknown	movie	2021	Mystery,Sci-Fi	4.0	10080
tt0054594	The Absent Minded Professor	movie	1961	Comedy,Family,Sci-Fi	6.7	10068
tt0028358	Things to Come	movie	1936	Drama,Sci-Fi,War	6.6	10065
tt0273689	It's All About Love	movie	2003	Drama,Romance,Sci-Fi	5.3	10052
tt0780583	Flight of the Living Dead	movie	2007	Horror,Sci-Fi	5.1	9989
tt11640020	Debris	tvSeries	2021	Drama,Mystery,Sci-Fi	6.5	9942
tt0948538	Journeyman	tvSeries	2007	Fantasy,Romance,Sci-Fi	8.0	9878
tt0099277	Class of 1999	movie	1990	Action,Horror,Sci-Fi	5.9	9844
tt7374926	Proxima	movie	2019	Adventure,Drama,Sci-Fi	6.3	9844
tt15041836	Werewolves	movie	2024	Action,Horror,Sci-Fi	4.4	9802
tt0090917	Deadly Friend	movie	1986	Drama,Horror,Sci-Fi	5.6	9774
tt0071675	It's Alive	movie	1974	Horror,Sci-Fi	5.8	9728
tt0120199	Space Truckers	movie	1996	Adventure,Comedy,Sci-Fi	5.4	9723
tt5227746	The Unthinkable	movie	2018	Action,Romance,Sci-Fi	5.9	9714
tt0055894	The Day of the Triffids	movie	1963	Horror,Sci-Fi	6.1	9698
tt0048127	Godzilla Raids Again	movie	1955	Action,Horror,Sci-Fi	5.7	9690
tt3864024	Lazer Team	movie	2015	Action,Comedy,Sci-Fi	5.5	9688
tt0045546	The Beast from 20,000 Fathoms	movie	1953	Horror,Sci-Fi	6.6	9645
tt0305011	Clone High	tvSeries	2002	Animation,Comedy,Sci-Fi	8.1	9618
tt3354222	As the Gods Will	movie	2014	Adventure,Horror,Sci-Fi	6.3	9598
tt1935914	The Last Days	movie	2013	Horror,Sci-Fi,Thriller	6.1	9595
tt7521778	I'm Not a Robot	tvSeries	2017	Comedy,Romance,Sci-Fi	8.0	9532
tt9337588	Leila	tvSeries	2019	Drama,Sci-Fi	5.1	9520
tt4573516	Sleight	movie	2016	Crime,Drama,Sci-Fi	5.9	9515
tt1125254	Dragon Ball Z: Cooler's Revenge	movie	1991	Action,Animation,Sci-Fi	7.0	9512
tt0197521	Godzilla: King of the Monsters!	movie	1956	Action,Horror,Sci-Fi	6.3	9506
tt0996979	Alien Raiders	movie	2008	Action,Horror,Sci-Fi	5.6	9492
tt1368440	Branded	movie	2012	Drama,Fantasy,Sci-Fi	4.6	9490
